                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3942,                 4.1339,                 1.4511,                0.96061,                0.05128,                0.39049,                0.25599,                 1.4068,                 4.6407,                  1.547,             0.00047052,             0.00047052,             0.00047052
                      2,                 1.4814,                 3.5406,                 1.5525,                0.56823,                0.55468,                0.61776,                 0.3906,                 1.6362,                 3.6509,                 1.7566,             0.00085312,             0.00085312,             0.00085312
                      3,                 1.6545,                 3.2245,                 1.7311,                0.61005,                0.70901,                0.68767,                0.41927,                 1.6234,                 3.5303,                 1.9177,              0.0011414,              0.0011414,              0.0011414
                      4,                 1.6771,                 2.9691,                 1.7209,                0.87211,                0.71035,                0.75582,                 0.5086,                 1.4316,                 2.7091,                 1.6931,              0.0010046,              0.0010046,              0.0010046
                      5,                 1.6854,                 2.6995,                 1.6969,                0.72144,                0.74864,                0.72106,                0.42017,                 1.6335,                 2.6048,                 1.9003,             0.00086312,             0.00086312,             0.00086312
                      6,                 1.5268,                 2.2418,                 1.5986,                0.73113,                0.76232,                0.74434,                0.48416,                 1.4843,                  2.362,                 1.6367,             0.00072164,             0.00072164,             0.00072164
                      7,                 1.4243,                 1.9856,                 1.5257,                0.86977,                0.75397,                0.80798,                0.53748,                 1.4315,                 1.9583,                 1.5984,             0.00058017,             0.00058017,             0.00058017
                      8,                 1.4066,                 1.8717,                 1.5015,                0.90802,                0.70482,                0.78958,                 0.5357,                 1.3643,                 1.8047,                 1.5596,              0.0004387,              0.0004387,              0.0004387
                      9,                 1.3438,                 1.5921,                  1.462,                0.93548,                0.74678,                0.82881,                0.55781,                 1.2993,                 1.5378,                 1.5207,             0.00029723,             0.00029723,             0.00029723
                     10,                 1.2537,                 1.5271,                 1.3924,                0.83296,                0.82504,                0.84183,                0.58897,                 1.2455,                 1.4791,                 1.4489,             0.00015576,             0.00015576,             0.00015576
